id,name,assoc_names,original_langauge,authors,genres,tags,start_year,licensed,original_publisher,english_publisher,complete_original,chapters_original_current,complete_translated,chapter_latest_translated,release_freq,activity_week_rank,activity_month_rank,activity_all_time_rank,on_reading_lists,reading_list_month_rank,reading_list_all_time_rank,rating,rating_votes,related_series_ids,recommended_series_ids,recommendation_list_ids
16169,Di Daughter’s Rebirth: Sheng Shi Wang Fei,['嫡女重生之盛世王妃'],chinese,"['dú bù yún xiāo', 'unrivaled in the sky', '独步云霄']","['drama', 'historical', 'josei', 'romance']","['ancient china', 'arranged marriage', 'beautiful female lead', 'betrayal', 'complex family relationships', 'familial love', 'female protagonist', 'handsome male lead', 'love interest falls in love first', 'older love interests', 'possessive characters', 'pregnancy', 'reincarnation', 'revenge', 'royalty', 'schemes and conspiracies', 'second chance']",2014,,xxsy,,True,182 chapters,False,c62,36.1,465,628,1205,3312,710,1082,4.3,88,,"[9010, 17553, 5865, 14562, 12375, 4841]","[8861, 8229, 7179, 6154, 6023]"
16682,Di Wang Gong Lue,"[""The Emperor's Strategy"", '帝王攻略']",chinese,"['yu xiao lanshan', '语笑阑珊']","['romance', 'wuxia', 'yaoi']","['adapted to anime', 'adapted to drama cd', 'adapted to manhua', 'ancient china', 'devoted love interests', 'long separations', 'power couple', 'royalty', 'slow romance', 'unconditional love']",2015,False,jjwxc,,True,193 chapters,False,c46,26.9,1767,2274,2580,2311,1977,1667,4.3,67,"[19108, 26898]","[12038, 13363, 13002, 11749, 16597, 13836]","[9689, 9350, 8970, 8886, 8533]"
14419,Ecstas Online,['エクスタス・オンライン'],japanese,"['kuji masamune', '久慈マサムネ']","['action', 'adult', 'adventure', 'comedy', 'drama', 'ecchi', 'fantasy', 'harem', 'mature', 'mystery', 'romance', 'sci-fi', 'seinen']","['adapted to drama cd', 'adapted to manga', 'antihero protagonist', 'artificial intelligence', 'beautiful female lead', 'boss-subordinate relationship', 'breast fetish', 'c*nnilingus', 'curses', 'demi-humans', 'demon lord', 'demons', 'elves', 'first-time intercourse', 'f*llatio', 'game elements', 'hiding true abilities', 'hiding true identity', 'leadership', 'level system', 'loner protagonist', 'loyal subordinates', 'magic', 'male protagonist', 'mmorpg', 'monsters', 'multiple transported individuals', 'nudity', 'older love interests', 'overpowered protagonist', 'perverted protagonist', 'special abilities', 'threesome', 'transported into a game world', 'vampires', 'virtual reality', 'weak to strong', 'zombies']",2016,,kadokawa,,True,8 volumes,False,v3c2,7.8,2190,1770,1549,3641,1473,961,3.9,141,,[4894],"[2562, 1951]"
6363,Emperor’s Domination,"['Di Ba', 'ED', 'Đế Bá', '帝霸']",chinese,"['yan bi xiao sheng', '厌笔萧生']","['action', 'adventure', 'drama', 'fantasy', 'harem', 'martial arts', 'mature', 'mystery', 'xuanhuan']","['alchemy', 'appearance different from actual age', 'arrogant characters', 'artifacts', 'average-looking protagonist', 'beast companions', 'beautiful female lead', 'bloodlines', 'body tempering', 'buddhism', 'charismatic protagonist', 'cultivation', 'cunning protagonist', 'dao comprehension', 'demons', 'determined protagonist', 'eidetic memory', 'evil protagonist', 'godly powers', 'heavenly tribulation', 'hiding true identity', 'immortals', 'loyal subordinates', 'lucky protagonist', 'maids', 'male protagonist', 'mind control', 'monsters', 'multiple realms', 'overpowered protagonist', 'past plays a big role', 'phoenixes', 'pill concocting', 'playful protagonist', 'quirky characters', 'ruthless protagonist', 'schemes and conspiracies', 'sect development', 'sentient objects', 'shameless protagonist', 'spatial manipulation', 'strength-based social hierarchy', 'strong to stronger', 'teachers', 'time skip', 'underestimated protagonist', 'wars', 'world travel', 'world tree']",2014,False,qidian,wuxiaworld,False,3971 chapters,False,c2929,0.5,9,8,2,16968,5,25,3.9,1814,,"[3952, 2039, 14, 791, 4214, 631]","[9018, 8890, 8889, 8884, 8544]"
24476,Entrust the Rest of My Life to You,"['The Oath of Love', '亲生，请多指教']",chinese,"['bolin shijiang', '柏林石匠']",['romance'],"['adapted to drama', 'doctors', 'fated lovers', 'female protagonist', 'love at first sight']",2016,,baihuazhou literature and art publishing house,,False,49 chapters,,c54,3.7,1573,2087,3793,648,2190,3801,4.2,35,,"[20841, 2750]","[9742, 9543, 6959, 6753, 4689]"
15593,Escape the Infinite Chamber,['逃离无限密室'],chinese,"['zǐ jiè', '紫界']","['action', 'fantasy', 'horror', 'mystery', 'psychological', 'romance', 'sci-fi', 'supernatural', 'yaoi']","['alternate world', 'calm protagonist', 'character growth', 'cruel characters', 'death', 'enemies become lovers', 'fantasy world', 'ghosts', 'human-nonhuman relationship', 'manipulative characters', 'military', 'mismatched couple', 'multiple realms', 'mystery solving', 'parallel worlds', 'personality changes', 'power couple', 'r*pe', 'survival', 'survival game', 'weak to strong', 'world travel']",,,jjwxc,,True,201 chapters,False,c43,47.6,839,747,2000,2623,1260,1478,4.5,117,,"[16677, 15551, 17543, 14444, 20365, 19106]","[9875, 9834, 9608, 9288, 9221]"
5651,Evolution Theory of the Hunter,['헌터계급론'],korean,['음란파괴왕'],"['action', 'adventure', 'drama', 'fantasy', 'harem', 'mystery', 'psychological', 'romance', 'seinen', 'supernatural']","['arrogant characters', 'calm protagonist', 'cheats', 'dense protagonist', 'dungeons', 'elves', 'friendship', 'game elements', 'handsome male lead', 'level system', 'love interest falls in love first', 'male protagonist', 'modern day', 'money grubber', 'monsters', 'poor to rich', 'pragmatic protagonist', 'romantic subplot', 'skill books', 'slow romance', 'sudden strength gain', 'teamwork', 'time skip', 'weak to strong']",2016,,kw books,,True,317 chapters,False,c199,16.8,1206,763,560,9027,1166,181,3.9,517,,"[18089, 7206, 7050, 7622, 1220, 4471]","[9413, 7420, 4711, 4633, 3591]"
13969,Ex Strongest Swordsman Longs For Magic In Different World,"['Moto Saikyou no Kenshi wa, Isekai Mahou ni Akogareru', '元最強の剣士は、異世界魔法に憧れる', '原最強劍士憧憬著異世界魔法']",japanese,['紅月シン'],"['action', 'adventure', 'fantasy', 'harem', 'romance']","['abandoned children', 'adapted to manga', 'age progression', 'cheats', 'demons', 'discrimination', 'dragons', 'famous parents', 'fantasy world', 'game elements', 'gods', 'hard-working protagonist', 'human-nonhuman relationship', 'loli', 'male protagonist', 'nobles', 'overpowered protagonist', 'protagonist strong from the start', 'reincarnation', 'sword and magic', 'sword wielder', 'underestimated protagonist', 'unreliable narrator', 'younger sisters']",2017,False,micro magazine,,False,228 chapters,False,c223,5.5,1724,1351,342,7178,1001,318,3.0,230,,"[7548, 515, 4563]","[8455, 1951, 1486, 634]"
24445,Ex-Husband’s Call,"['Qianfu Laidian', '前夫来电']",chinese,['秦三见'],"['adult', 'comedy', 'romance', 'slice of life', 'yaoi']","['comedic undertone', 'cute protagonist', 'cute story', 'doting love interests', 'love interest falls in love first', 'police', 'teachers']",2019,False,jjwxc,,True,63 chapters,False,c14,17.4,591,679,3572,734,745,3573,3.7,30,,[29057],"[7355, 4630, 1931]"
15752,Extraordinary Genius,"['Chāo pǐn qícái', '超品奇才']",chinese,"['qióng sì', '穷四']","['harem', 'mature', 'school life', 'seinen', 'slice of life']","['arrogant characters', 'business management', 'businessmen', 'calm protagonist', 'clever protagonist', 'discrimination', 'gangs', 'hard-working protagonist', 'industrialization', 'male protagonist', 'mature protagonist', 'modern day', 'modern knowledge', 'money grubber', 'nationalism', 'politics', 'polygamy', 'poor to rich', 'racism', 'romantic subplot', 'second chance', 'shameless protagonist', 'tragic past']",2015,False,qidian,,True,2090 chapters,False,c907,0.9,187,159,239,3387,146,1060,3.7,243,,"[6001, 12625, 8033, 12698, 15181, 15196]","[9556, 8018, 5936, 4944, 4522]"
25595,Fake Slackers,"['伪学渣装', '伪装学渣']",chinese,"['mu gua huang', '木瓜黄']","['comedy', 'romance', 'school life', 'shounen ai', 'slice of life']","['adapted to drama cd', 'anti-social protagonist', 'calm protagonist', 'cold protagonist', 'coming of age', 'complex family relationships', 'confident protagonist', 'cute story', 'friendship', 'genius protagonist', 'handsome male lead', 'male protagonist', 'modern day', 'slow romance', 'strong love interests']",2018,True,jjwxc,chaleuria,True,112 chapters,False,c91,2.2,501,378,1891,1524,430,2361,4.6,79,[29772],"[24360, 19748, 15883, 23209, 12620, 19987]","[9913, 9732, 9600, 9544, 9405]"
27808,"Fortunately, I Met You",['幸好遇見你'],chinese,"['sunny', '桑妮']","['comedy', 'josei', 'romance']","['female protagonist', 'modern day']",2018,True,cmread.com / migu,wuxiaworld,True,256 chapters,False,c202,0.5,438,495,2483,742,472,3553,3.7,34,,,"[8137, 7679, 3124, 2322]"
29156,Futile Calculations,['白算计'],chinese,"['big grey wolf with wings', '長著翅膀的大灰狼']","['comedy', 'fantasy', 'romance', 'supernatural']","['ancient china', 'comedic undertone', 'cross-dressing', 'cultivation', 'dense protagonist', 'hiding true identity', 'military', 'schemes and conspiracies', 'student-teacher relationship']",,,baihuazhou literature and art publishing house,,True,73 chapters,False,c41,1.3,682,923,4707,285,1430,5093,3.4,13,,,
